,tokens,labels
1093,"['before', 'the', 'season', 'even', 'starts', 'i', 'will', 'not', 'respond', 'to', 'any', 'new', 'found', 'miami', 'heat', 'fans']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2373,"['Have', 'a', 'feeling', 'my', 'phone', 'bill', 'will', 'be', 'high', 'this', 'month']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2004,"['looks', 'like', 'its', 'my', 'byzabedtime', 'hope', 'to', 'fuck', 'that', 'ema', 'is', 'in', 'tomorrow']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
427,"['Spent', 'all', 'of', 'last', 'night', 'puking', ',', 'and', 'all', 'of', 'today', 'fretting', 'Some', 'people', 'totally', 'fail', 'to', 'pick', 'up', 'the', 'slack', 'when', 'you', 'are', 'away']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2324,"['Im', 'trying', 'to', 'figure', 'out', 'if', 'I', 'wanna', 'do', 'something', 'tonight']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1264,"['I', 'madw', 'my', 'email', 'when', 'i', 'was', '10', 'and', 'yeah', 'its', 'really', 'embarissing', 'lol']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
578,"['Yesterday', 's', 'shoot', 'was', 'unreal', 'Today', 'is', 'just', 'as', 'sick', 'Is', 'that', 'even', 'possible']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
485,"['my', 'past', 'was', 'the', 'reason', 'i', 'tried', 'to', 'kill', 'myself', 'the', 'other', 'day', ',', 'and', 'i', 'll', 'gladly', 'do', 'it', 'again']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1679,"['I', 'should', 'not', 'be', 'awake', 'at', 'this', 'hour', 'on', 'a', 'Saturday', 'Blerghhhhh', 'Good', 'cause', 'though', 'I', 'hope']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
290,"['Sleeping', 'later', 'and', 'later', 'everyday', ',', 'waking', 'up', 'earlier', 'and', 'earlier', 'day', 'by', 'day', 'My', 'eyes', 'are', 'getting', 'smaller', 'and', 'smaller']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
685,"['I', 'ain', 'wear', 'makeup', 'in', 'almost', '2', 'weeks']","[0, 0, 0, 0, 0, 0, 0, 0]"
836,"['The', 'Town', 'might', 'be', 'one', 'of', 'the', 'best', 'movies', 'I', 'have', 'seen', 'all', 'year', 'So', ',', 'so', 'good', 'And', 'dont', 'worry', 'Ben', ',', 'we', 'already', 'forgave', 'you', 'for', 'Gigli', 'Really']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1139,"['And', 'now', 'the', 'wait', 'til', 'the', 'games', 'get', 'started', 'for', 'the', 'day']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
